rank,priority,architecture_scope,process_gate,ctq,major_defects_or_variables,primary_methods,why_important,evidence_anchor
1,P0,all,"pre-stack and post-bond electrical","KGD; continuity; contact resistance; leakage","bad die; open; short; high-R; repair failure","wafer sort; BIST; daisy chain; Kelvin; boundary scan","A bad die can destroy the value of already-good dies and completed stack processing; imaging cannot prove function","IEEE HIR Test; IEEE 1838"
2,P0,all,"alignment and bond placement","x-y-theta; scaling; local distortion; tilt","pad overlap loss; die shift; rotation; open; short","optical or IR alignment; overlay target; moire; grid map","As pitch shrinks, local placement error directly reduces overlap and increases resistance or creates opens","ECTC 2023 S38-01/S38-06; 2025 S37-25; 2026 S31-02/S39-33"
3,P0*,microbump_and_hybrid,"post-bond buried interface","void; non-wet; bridge; nanogap; delamination","missing bump; solder extrusion; gross void; dielectric non-bond","2D X-ray; CT or XRM; laminography; SAM; IR; electrical correlation","Buried joints lose optical access after stacking and one interconnect defect can fail the system","ECTC 2023 S03-02/S23-02; 2024 S39-01/S39-14; 2025 S23-03/S37-22; 2026 S34-01/S34-04"
4,P0,all,"shape control across thermal process","warpage; TTV; bow; coplanarity; thermal deformation","focus and overlay loss; incomplete contact; non-wet; underfill flow imbalance","shadow moire; interferometry; OCT; DIC; optical height map","Warpage simultaneously affects lithography focus, pickup and placement, contact pressure and encapsulation","SEMI 3D4/3D12; ECTC 2023 S05-02/S22-03; 2026 S09-05"
5,P0*,2xD_interposer_and_bridge,"RDL and interposer fabrication","CD; line-space; layer overlay; via residue; continuity","necking; bridge; open; short; residue","AOI; CD metrology; profilometry; electrical test; LIT; X-ray; FIB","Fine RDL is the actual chiplet communication path and nanoscale defects are hard to localize after assembly","ECTC 2025 S39-30; 2026 S34-07/S35-04"
6,P0*,TSV_or_TGV_structures,"vertical interconnect fabrication","CD; depth; taper; liner; seed; fill; resistance; stress","seam; void; leakage; high-R; keep-out-zone stress","optical; CT or XRM; resistance; leakage; Raman; EBSD; cross-section","Vertical vias combine geometric, metallurgical, electrical and stress failure modes that no single tool covers","SEMI 3D5; ECTC 2025 S10-04; 2026 S27-01/S32-06"
7,P0*,hybrid_bond,"pre-bond CMP and surface preparation","particle; organic and oxide residue; roughness; Cu recess or protrusion; dishing; erosion","non-bond; nanogap; weak interface; high-R contact","AOI; AFM; interferometry; scatterometry; ellipsometry; surface analysis","Without solder compliance, nanometer height and cleanliness errors directly amplify into bond defects","ECTC 2023 S34-04; 2024 S12-04/S23-07; 2026 S20-01/S39-31"
8,P0*,microbump,"bump formation and incoming inspection","height; diameter; volume; coplanarity; oxide; placement","missing or shifted bump; non-wet; open; bridge","3D AOI; profilometry; X-ray; surface inspection; resistance","Tail bumps outside the height or wetting window can remain open even when the mean is nominal","SEMI 3D6; ECTC 2023 S23-02; 2025 S23-03"
9,P0*,underfill_NCF_MUF_or_EMC,"encapsulation and cure","fill front; void; filler distribution; BLT; cure; shrinkage; moisture","delamination; crack; popcorning; thermal-path loss","in-situ optical or X-ray; SAM; DSC or DMA; warpage; cross-section","Voids, incomplete cure and moisture redistribute stress and heat and grow into latent delamination","ECTC 2023 S05-03; 2026 S09-05"
10,P1_to_P0*,thin_HBM_die,"wafer thinning and singulation","die thickness; TTV; backside roughness; subsurface crack; edge chip; strength","pickup crack; edge fracture; hidden grinding damage","thickness map; IR or optical AOI; profilometry; bend test; acoustic","Ultra-thin HBM dies have small damage margins and support carriers can hide free-state shape","ECTC 2023 dicing and warpage papers; 2024 S24-04; 2025 S08-01"
11,P1_and_qualification_P0,high_power_HBM_and_2xD,"thermal integration","TIM bond-line thickness; void; junction temperature; layer thermal resistance; hotspot","thermal throttling; crosstalk; accelerated aging","IR thermography; transient thermal; embedded sensors; thermal test vehicle; X-ray or SAM for TIM","An electrically good package can still fail performance and life targets because of a poor thermal path","IEEE HIR Thermal; ECTC 2025 S37-21; 2026 S18-05"
12,P1_and_P2,all,"process ramp qualification and failure analysis","fracture energy; residual stress; grain and IMC; EM; fatigue","latent crack; delamination; resistance drift","DCB; 4PB; nanoindentation; Raman; EBSD; XRD; in-situ resistance; TC; HAST; HTOL","These methods expose failures that pass initial visual and electrical screens and close the root-cause loop","ECTC 2024 S08-07/S41-06; 2025 S18-07/S40-14; 2026 S18-02/S22-06"
